date,time,open,high,low,close,adjusted
2012.10.15,0:00,1.0236,1.0259,1.0202,1.0246,11549
2012.10.16,0:00,1.0247,1.0307,1.0246,1.0299,12335
2012.10.17,0:00,1.0298,1.0388,1.0293,1.0373,12279
2012.10.18,0:00,1.0374,1.0411,1.0354,1.0375,12533
2012.10.19,0:00,1.0375,1.038,1.0318,1.032,9826
2012.10.21,0:00,1.0318,1.0323,1.0312,1.0313,474
2012.10.22,0:00,1.0314,1.0339,1.0296,1.0331,9383
2012.10.23,0:00,1.0329,1.0338,1.0236,1.0264,10945
2012.10.24,0:00,1.0265,1.0366,1.0259,1.0344,12691
2012.10.25,0:00,1.0343,1.0397,1.0332,1.035,12248
2012.10.26,0:00,1.0349,1.0385,1.0305,1.0368,11021
2012.10.28,0:00,1.0363,1.0364,1.0345,1.035,479
2012.10.29,0:00,1.0353,1.0368,1.0326,1.0339,6240
2012.10.30,0:00,1.034,1.0384,1.0331,1.0363,5993
2012.10.31,0:00,1.0364,1.04,1.0354,1.0373,6752
2012.11.01,0:00,1.0372,1.042,1.0356,1.0413,6250
2012.11.02,0:00,1.0413,1.0414,1.0332,1.0337,6421
2012.11.04,0:00,1.0338,1.0348,1.0337,1.0342,341
2012.11.05,0:00,1.0341,1.0384,1.0335,1.0381,5909
2012.11.06,0:00,1.038,1.0448,1.0366,1.0429,6384
2012.11.07,0:00,1.043,1.0481,1.0395,1.0405,10671
2012.11.08,0:00,1.0404,1.0444,1.039,1.04,8708
2012.11.09,0:00,1.0399,1.0436,1.036,1.0387,7161
2012.11.11,0:00,1.0392,1.04,1.0387,1.0395,605
2012.11.12,0:00,1.0394,1.0441,1.0388,1.0425,5388
2012.11.13,0:00,1.0426,1.0447,1.0398,1.0444,7274
2012.11.14,0:00,1.0445,1.0459,1.0359,1.0365,7750
2012.11.15,0:00,1.0363,1.0387,1.0308,1.0338,7473
2012.11.16,0:00,1.0337,1.0352,1.0288,1.0345,6665
2012.11.18,0:00,1.0351,1.0368,1.035,1.036,495
2012.11.19,0:00,1.036,1.0418,1.0355,1.0401,6299
2012.11.20,0:00,1.04,1.0425,1.0358,1.0388,6795
2012.11.21,0:00,1.0387,1.0389,1.0339,1.0382,6561
2012.11.22,0:00,1.0382,1.0402,1.0353,1.0379,5054
2012.11.23,0:00,1.0379,1.0471,1.0377,1.0455,4319
2012.11.25,0:00,1.0457,1.0468,1.0454,1.0458,363
2012.11.26,0:00,1.0457,1.0479,1.044,1.0472,5198
2012.11.27,0:00,1.0471,1.049,1.0436,1.0444,5940
2012.11.28,0:00,1.0445,1.0482,1.0428,1.0474,6125
2012.11.29,0:00,1.0475,1.0481,1.0419,1.0429,5992
2012.11.30,0:00,1.0428,1.0448,1.0403,1.0437,4916
2012.12.02,0:00,1.0427,1.0433,1.042,1.0426,468
2012.12.03,0:00,1.0427,1.0447,1.0394,1.0433,5473
2012.12.04,0:00,1.0432,1.0485,1.041,1.0475,6275
2012.12.05,0:00,1.0474,1.0485,1.0443,1.0446,6180
2012.12.06,0:00,1.0446,1.0516,1.0442,1.0473,6500
2012.12.07,0:00,1.0474,1.0497,1.046,1.0489,5066
2012.12.09,0:00,1.0488,1.0492,1.0478,1.0483,482
2012.12.10,0:00,1.0483,1.0506,1.0466,1.0487,3718
2012.12.11,0:00,1.0486,1.0541,1.0462,1.0536,4258
2012.12.12,0:00,1.0537,1.0586,1.0524,1.0546,4547
2012.12.13,0:00,1.0547,1.0564,1.0509,1.0531,4222
2012.12.14,0:00,1.0532,1.0578,1.0511,1.0558,4326
2012.12.16,0:00,1.0539,1.0573,1.0537,1.0554,753
2012.12.17,0:00,1.0555,1.0556,1.0527,1.0545,4528
2012.12.18,0:00,1.0546,1.0558,1.0512,1.0518,4873
2012.12.19,0:00,1.0517,1.0533,1.0468,1.0476,5494
2012.12.20,0:00,1.0477,1.05,1.0462,1.048,4668
2012.12.21,0:00,1.048,1.0481,1.0395,1.0404,5684
2012.12.23,0:00,1.0399,1.0406,1.0394,1.0394,553
2012.12.24,0:00,1.0393,1.0416,1.0357,1.0359,5098
2012.12.26,0:00,1.0362,1.0386,1.0345,1.0364,4328
2012.12.27,0:00,1.0364,1.0388,1.0346,1.0368,6008
2012.12.28,0:00,1.0366,1.0396,1.0361,1.0368,5543
2012.12.30,0:00,1.0381,1.0393,1.0371,1.039,691
2012.12.31,0:00,1.0389,1.0409,1.0364,1.0394,6370
2013.01.02,0:00,1.0391,1.0523,1.0387,1.0491,12131
2013.01.03,0:00,1.0491,1.0527,1.0449,1.0449,6235
2013.01.04,0:00,1.045,1.0488,1.0394,1.0482,5661
2013.01.06,0:00,1.0487,1.0512,1.0487,1.0495,900
2013.01.07,0:00,1.0496,1.0515,1.0467,1.0511,6194
2013.01.08,0:00,1.051,1.0516,1.0469,1.0512,6699
2013.01.09,0:00,1.0511,1.0535,1.0486,1.0504,6839
